"Model","Region","Response","op","Predictor","Effect","se","pvalue"
"Original","San Joaquin","fish","=~","estfish_stn",0.7637,0.0662,0
"Original","San Joaquin","fish","=~","estfish_bsmt",0.5825,0.1044,0
"Original","San Joaquin","estfish","~~","estfish",0.1518,0.071,0.0326
"Original","San Joaquin","estfish_stn","~~","estfish_stn",0.4167,0.1012,0
"Original","San Joaquin","estfish_bsmt","~~","estfish_bsmt",0.6606,0.1217,0
"Original","San Joaquin","chla","~~","chla",0.7242,0.1117,0
"Original","San Joaquin","hzoop","~~","hzoop",0.4461,0.0988,0
"Original","San Joaquin","pzoop","~~","pzoop",0.3518,0.0865,0
"Original","San Joaquin","fish","~~","fish",0.1362,0.0689,0.0481
"Original","San Joaquin","corbic","~~","corbic",1,0,NA
"Original","San Joaquin","corbic","~~","flow",0.1955,0,NA
"Original","San Joaquin","corbic","~~","temp",-0.1689,0,NA
"Original","San Joaquin","corbic","~~","turbid",0.4043,0,NA
"Original","San Joaquin","flow","~~","flow",1,0,NA
"Original","San Joaquin","flow","~~","temp",-0.2199,0,NA
"Original","San Joaquin","flow","~~","turbid",0.2303,0,NA
"Original","San Joaquin","temp","~~","temp",1,0,NA
"Original","San Joaquin","temp","~~","turbid",-0.2027,0,NA
"Original","San Joaquin","turbid","~~","turbid",1,0,NA
"Original","Suisun","chla","~","potam",-0.285,0.1629,0.0802
"Original","Suisun","chla","~","flow",0.2798,0.1763,0.1125
"Original","Suisun","chla","~","temp",-0.2781,0.1422,0.0506
"Original","Suisun","chla","~","turbid",-0.2134,0.189,0.2588
"Original","Suisun","hzoop","~","chla",0.6252,0.1015,0
"Original","Suisun","hzoop","~","potam",-0.3526,0.1239,0.0044
"Original","Suisun","hzoop","~","flow",0.1063,0.1365,0.4361
"Original","Suisun","hzoop","~","temp",0.0478,0.1134,0.6733
"Original","Suisun","hzoop","~","turbid",-0.2841,0.1402,0.0428
"Original","Suisun","pzoop","~","chla",0.43,0.0993,0
"Original","Suisun","pzoop","~","potam",-0.0136,0.0903,0.8802
"Original","Suisun","pzoop","~","flow",-0.3641,0.092,1e-04
"Original","Suisun","pzoop","~","temp",-0.0177,0.0736,0.81
"Original","Suisun","pzoop","~","turbid",0.1482,0.0972,0.1273
"Original","Suisun","pzoop","~","hzoop",0.6064,0.1002,0
"Original","Suisun","fish","~","hzoop",0.2472,0.1572,0.1157
"Original","Suisun","fish","~","pzoop",0.2675,0.1463,0.0675
"Original","Suisun","fish","~","potam",-0.3273,0.1002,0.0011
"Original","Suisun","fish","~","flow",0.2218,0.1098,0.0434
"Original","Suisun","fish","~","temp",0.0062,0.081,0.9394
"Original","Suisun","fish","~","turbid",0.2621,0.1107,0.0179
"Original","Suisun","fish","=~","estfish",0.875,0.0398,0
"Original","Suisun","fish","=~","estfish_stn",0.8847,0.0378,0
"Original","Suisun","fish","=~","estfish_bsmt",0.7548,0.0675,0
"Original","Suisun","estfish","~~","estfish",0.2344,0.0697,8e-04
"Original","Suisun","estfish_stn","~~","estfish_stn",0.2174,0.0668,0.0011
"Original","Suisun","estfish_bsmt","~~","estfish_bsmt",0.4302,0.1019,0
"Original","Suisun","chla","~~","chla",0.719,0.1117,0
"Original","Suisun","hzoop","~~","hzoop",0.385,0.091,0
"Original","Suisun","pzoop","~~","pzoop",0.1612,0.046,5e-04
"Original","Suisun","fish","~~","fish",0.0801,0.0484,0.0979
"Original","Suisun","potam","~~","potam",1,0,NA
"Original","Suisun","potam","~~","flow",-0.4816,0,NA
"Original","Suisun","potam","~~","temp",0.4001,0,NA
"Original","Suisun","potam","~~","turbid",-0.5489,0,NA
"Original","Suisun","flow","~~","flow",1,0,NA
"Original","Suisun","flow","~~","temp",-0.2948,0,NA
"Original","Suisun","flow","~~","turbid",0.6585,0,NA
"Original","Suisun","temp","~~","temp",1,0,NA
"Original","Suisun","temp","~~","turbid",-0.3542,0,NA
"Original","Suisun","turbid","~~","turbid",1,0,NA
"Original","Whole Estuary","chla","~","potam",-0.3407,0.1708,0.0461
"Original","Whole Estuary","chla","~","flow",0.0546,0.1738,0.7532
"Original","Whole Estuary","chla","~","temp",-0.0354,0.1659,0.8308
"Original","Whole Estuary","hzoop","~","chla",0.6665,0.0869,0
"Original","Whole Estuary","hzoop","~","potam",-0.3063,0.1236,0.0132
"Original","Whole Estuary","hzoop","~","flow",-0.0945,0.1164,0.4168
"Original","Whole Estuary","hzoop","~","temp",0.0526,0.1111,0.6358
"Original","Whole Estuary","pzoop","~","chla",0.6103,0.0891,0
"Original","Whole Estuary","pzoop","~","potam",-0.0311,0.0832,0.7087
"Original","Whole Estuary","pzoop","~","flow",-0.1998,0.0737,0.0067
"Original","Whole Estuary","pzoop","~","hzoop",0.3791,0.0977,1e-04
"Original","Whole Estuary","pzoop","~","temp",-0.0708,0.0688,0.3035
"Original","Whole Estuary","fish","~","hzoop",0.2993,0.1312,0.0226
"Original","Whole Estuary","fish","~","pzoop",0.1534,0.1253,0.2209
"Original","Whole Estuary","fish","~","flow",0.1336,0.0849,0.1155
"Original","Whole Estuary","fish","~","turbid",0.3977,0.0883,0
"Original","Whole Estuary","fish","~","temp",0.0631,0.0799,0.4301
"Original","Whole Estuary","fish","~","potam",-0.3214,0.1086,0.0031
"Original","Whole Estuary","fish","=~","estfish",0.8945,0.0345,0
"Original","Whole Estuary","fish","=~","estfish_stn",0.8767,0.0382,0
"Original","Whole Estuary","fish","=~","estfish_bsmt",0.7615,0.0648,0
"Original","Whole Estuary","estfish","~~","estfish",0.2,0.0618,0.0012
"Original","Whole Estuary","estfish_stn","~~","estfish_stn",0.2313,0.067,6e-04
"Original","Whole Estuary","estfish_bsmt","~~","estfish_bsmt",0.4201,0.0986,0
"Original","Whole Estuary","chla","~~","chla",0.8478,0.1005,0
"Original","Whole Estuary","hzoop","~~","hzoop",0.38,0.0923,0
"Original","Whole Estuary","pzoop","~~","pzoop",0.1437,0.0417,6e-04
"Original","Whole Estuary","fish","~~","fish",0.074,0.0453,0.1023
"Original","Whole Estuary","potam","~~","potam",1,0,NA
"Original","Whole Estuary","potam","~~","flow",-0.5255,0,NA
"Original","Whole Estuary","potam","~~","temp",0.452,0,NA
"Original","Whole Estuary","potam","~~","turbid",-0.6302,0,NA
"Original","Whole Estuary","flow","~~","flow",1,0,NA
"Original","Whole Estuary","flow","~~","temp",-0.3772,0,NA
"Original","Whole Estuary","flow","~~","turbid",0.4185,0,NA
"Original","Whole Estuary","temp","~~","temp",1,0,NA
"Original","Whole Estuary","temp","~~","turbid",-0.2278,0,NA
"Original","Whole Estuary","turbid","~~","turbid",1,0,NA
